"FECHA","USUARIO","ACCION","OBJETO","POLITICA","CODIGO_ERROR","SENTENCIA_SQL"
"2026-01-19 18:40:28","JCR","SELECT","AUDIT_UNIFIED_ENABLED_POLICIES","AUDIT_GLOBAL_FAILURES",942,"SELECT policy_name,?? enabled_option,?? entity_name, success, failure FROM audit"
"2026-01-19 18:40:28","JCR","SELECT","INT$AUDIT_UNIFIED_ENABLED_POL","AUDIT_GLOBAL_FAILURES",942,"SELECT policy_name,?? enabled_option,?? entity_name, success, failure FROM audit"
"2026-01-19 18:36:44","JCR","SELECT","AUDIT_UNIFIED_ENABLED_POLICIES","AUDIT_GLOBAL_FAILURES",2004,"SELECT policy_name,
       enabled_option, -- BY USER, BY ROLE, etc.
       enti"
"2026-01-19 18:36:44","JCR","SELECT","INT$AUDIT_UNIFIED_ENABLED_POL","AUDIT_GLOBAL_FAILURES",2004,"SELECT policy_name,
       enabled_option, -- BY USER, BY ROLE, etc.
       enti"
"2026-01-19 18:36:31","JCR","SELECT","AUDIT_UNIFIED_ENABLED_POLICIES","AUDIT_GLOBAL_FAILURES",2004,"SELECT policy_name,
       enabled_option, -- BY USER, BY ROLE, etc.
       enti"
"2026-01-19 18:36:31","JCR","SELECT","INT$AUDIT_UNIFIED_ENABLED_POL","AUDIT_GLOBAL_FAILURES",2004,"SELECT policy_name,
       enabled_option, -- BY USER, BY ROLE, etc.
       enti"
"2026-01-19 18:27:04","JCR","SELECT","DBA_INDEXES","AUDIT_DBA_INDEXES_ACCESS",0,"SELECT count(*) FROM dba_indexes "
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('INIT_TABL"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('SEARCH_UI"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('PEOPLE_SE"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('CEC_ENABL"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1400,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('CONTENT_A"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1400,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('CUSTOM_AI"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1400,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('CONTENT_A"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('AI_ENABLE"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('DAM_ENABL"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('CC_ENABLE"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('CURRENT_C"
"2026-01-19 18:14:10","RELEASE","INSERT","LIBERTY_STATUS","AUDIT_GLOBAL_FAILURES",1,"INSERT INTO RELEASE.LIBERTY_STATUS (STATUS_KEY, STATUS_VALUE) VALUES ('DB_TRANSF"
"2026-01-19 17:45:22","JCR","SELECT","DBA_INDEXES","AUDIT_DBA_INDEXES_ACCESS",0,"SELECT count(*) FROM dba_indexes "
